AREA_NM,PBLPRFR_ND_DSPY_GOODS_CD,PBLPRFR_ND_DSPY_GOODS_NM,PBLPRFR_ND_DSPY_GOODS_ADDR,PBLPRFR_ND_DSPY_GOODS_RNEWL_DE
강원 강릉시,11542,[강원 강릉] 환희 컵 : 이색박물관,강원 강릉시 한밭골길 76-29,20210330
강원 강릉시,32188,[강원 강릉] 하슬라 아트월드 : 이색전시,강원 강릉시 강동면 율곡로 1441,20210330
강원 강릉시,32609,[강원 강릉] 커피커퍼 경포/왕산점 : 이색박물관,강원 강릉시 해안로 341,20210330
강원 강릉시,46714,[강원 강릉] 커피커퍼 박물관 왕산점/경포점 핫딜★,강원 강릉시 해안로 341,20210330
강원 강릉시,53640,[야놀자X강원도] 하슬라 아트월드 : 이색전시,강원 강릉시 강동면 율곡로 1441,20210330
강원 강릉시,53943,[야놀자x강원도특가] 커피커퍼 경포점,강원 강릉시 해안로 341,20210330
강원 강릉시,58668,[강원 강릉] 하슬라 아트월드 : 이색전시 ★특가,강원 강릉시 강동면 율곡로 1441,20210330
강원 강릉시,63891,[강릉]환타지컵 박물관 + 장길환 미술관,강원 강릉시 해안로 10,20210330
강원 삼척시,36261,[강원 삼척] 강원종합박물관,강원 삼척시 신기면 강원남부로 3016,20210330
강원 영월군,46778,[강원 영월] 영월투어패스+젊은달 와이파크PKG,강원 영월군 김삿갓면 진별리 산 262,20210330
강원 영월군,53201,[강원 영월] 영월투어패스+젊은달 와이파크PKG,강원 영월군 김삿갓면 진별리 산 262,20210330
강원 정선군,29546,[강원 정선] 삼탄아트마인,강원 정선군 고한읍 함백산로 1445-44,20210330
강원 춘천시,38206,[강원 춘천] 애니메이션 박물관 + 토이로봇관 통합권,강원 춘천시 서면 박사로 854,20210330
강원 춘천시,42609,[강원 춘천] 애니메이션 박물관 + 토이로봇관,강원 춘천시 서면 박사로 854,20210330
강원 홍천군,46173,[강원 홍천] 2019 썸머미션 대명 오션월드 오션페스타,강원 홍천군 서면 한치골길 262,20210330
강원 홍천군,46299,[강원 홍천] 2019 썸머미션 대명 오션월드 오션페스타,강원 홍천군 서면 한치골길 262,20210330
경기 가평군,20697,[경기 가평] 인터렉티브 아트 뮤지엄,경기 가평군 가평읍 호반로 1655,20210330
경기 가평군,39722,"[경기 가평] 마상공연, 조라&지미 퍼니쇼!",경기 가평군 가평읍 달전리 99-4,20210330
경기 고양시,48618,[경기 일산] 킨텍스 견생사진관,경기 고양시 일산동구 중앙로1275번길 56,20210330
경기 남양주시,39329,[경기 남양주] 서호미술관,경기 남양주시 화도읍 북한강로 1344,20210330
경기 남양주시,39564,[경기 남양주] 모란 미술관,경기 남양주시 화도읍 경춘로2110번길 8,20210330
경기 남양주시,40033,[경기 남양주] 프라움 악기박물관,경기 남양주시 와부읍 경강로 756,20210330
경기 남양주시,42545,[경기 남양주] 모란 미술관,경기 남양주시 화도읍 경춘로2110번길 8,20210330
경기 남양주시,42656,[경기 남양주] 프라움 악기박물관,경기 남양주시 와부읍 경강로 756,20210330
경기 남양주시,42702,[경기 남양주] 서호미술관,경기 남양주시 화도읍 북한강로 1344,20210330
경기 부천시,47920,[부천] 아인스월드 세계야경 판타지 빛축제 야간 입장권,경기 부천시 도약로 1,20210330
경기 부천시,47941,[경기 부천] 플레이아쿠아리움 입장권 + 아인스월드 주간권,경기 부천시 도약로 1,20210330
경기 부천시,47942,[경기 부천]아인스월드 야간 빛축제+부천아쿠아리움PKG,경기 부천시 도약로 1,20210330
경기 부천시,47955,[경기 부천]1+1특가★아인스월드 세계야경 빛축제 야간 입장권,경기 부천시 도약로 1,20210330
경기 수원시,39911,[경기 수원] 인생사진관2,경기 수원시 팔달구 동수원로 397,20210330
경기 안산시,44277,[경기 안산] 대부도 동춘서커스,경기 안산시 단원구 대부황금로 1432,20210330
경기 안산시,46755,[경기 안산] 동춘서커스,경기 안산시 단원구 대부황금로 1432,20210330
경기 안산시,49760,[경기 안산] 동춘서커스,경기 안산시 단원구 대부황금로 1432,20210330
경기 안산시,55105,[경기 안산] 동춘서커스,경기 안산시 단원구 대부황금로 1432,20210330
경기 안산시,57470,[경기 안산] 동춘서커스,경기 안산시 단원구 대부황금로 1432,20210330
